	[1, 1]	[1, 2]	[1, 3]	[1, 4]	[1, 5]	[1, 6]	[1, 7]	[1, 8]	[1, 9]	[1, 10]	[2, 1]	[2, 2]	[2, 3]	[2, 4]	[2, 5]	[2, 6]	[2, 7]	[2, 8]	[2, 9]	[2, 10]	[3, 1]	[3, 2]	[3, 3]	[3, 4]	[3, 5]	[3, 6]	[3, 7]	[3, 8]	[3, 9]	[3, 10]	[4, 1]	[4, 2]	[4, 3]	[4, 4]	[4, 5]	[4, 6]	[4, 7]	[4, 8]	[4, 9]	[4, 10]	[5, 1]	[5, 2]	[5, 3]	[5, 4]	[5, 5]	[5, 6]	[5, 7]	[5, 8]	[5, 9]	[5, 10]	[6, 1]	[6, 2]	[6, 3]	[6, 4]	[6, 5]	[6, 6]	[6, 7]	[6, 8]	[6, 9]	[6, 10]	[7, 1]	[7, 2]	[7, 3]	[7, 4]	[7, 5]	[7, 6]	[7, 7]	[7, 8]	[7, 9]	[7, 10]	[8, 1]	[8, 2]	[8, 3]	[8, 4]	[8, 5]	[8, 6]	[8, 7]	[8, 8]	[8, 9]	[8, 10]	[9, 1]	[9, 2]	[9, 3]	[9, 4]	[9, 5]	[9, 6]	[9, 7]	[9, 8]	[9, 9]	[9, 10]	[10, 1]	[10, 2]	[10, 3]	[10, 4]	[10, 5]	[10, 6]	[10, 7]	[10, 8]	[10, 9]	[10, 10]
Running: [1, 1]	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	48	16	120	8	32	0	0	0	24	16	144	128	456	68	8	0	0	24	48	128	456	68	76	8	8	0	0	16	128	76	64	16	8	0	0	0	48	144	456	64	24	0	16	8	0	0	16	128	68	16	0	0	0	0	8	24	120	456	76	8	16	0	16	0	0	0	8	68	8	0	8	0	0	0	0	0	32	8	8	0	0	8	0	0	0
Running: [1, 2]	0	0	0	0	0	48	16	120	8	32	0	0	0	48	32	290	16	20	48	152	0	0	48	242	48	92	48	48	92	76	0	48	242	160	20	24	40	116	32	72	0	32	48	20	16	44	70	68	36	24	48	290	92	24	44	152	44	166	72	20	16	16	48	40	70	44	2	40	40	64	120	20	48	116	68	166	40	132	38	6	8	48	92	32	36	72	40	38	0	0	32	152	76	72	24	20	64	6	0	0
Running: [1, 3]	0	0	0	24	16	144	128	456	68	8	0	0	48	242	48	92	48	48	92	76	0	48	36	136	132	48	128	20	84	36	24	242	136	96	52	1	34	28	58	18	16	48	132	52	0	32	8	42	68	24	144	92	48	1	32	164	58	52	24	32	128	48	128	34	8	58	8	9	16	22	456	48	20	28	42	52	9	52	151	8	68	92	84	58	68	24	16	151	16	4	8	76	36	18	24	32	22	8	4	120
Running: [1, 4]	0	0	24	48	128	456	68	76	8	8	0	48	242	160	20	24	40	116	32	72	24	242	136	96	52	1	34	28	58	18	48	160	96	60	128	20	88	68	48	64	128	20	52	128	44	1	18	10	8	20	456	24	1	20	1	20	16	48	8	2	68	40	34	88	18	16	8	48	4	0	76	116	28	68	10	48	48	88	26	0	8	32	58	48	8	8	4	26	0	120	8	72	18	64	20	2	0	0	120	188
Running: [1, 5]	0	0	16	128	76	64	16	8	0	0	0	32	48	20	16	44	70	68	36	24	16	48	132	52	0	32	8	42	68	24	128	20	52	128	44	1	18	10	8	20	76	16	0	44	12	24	0	0	8	4	64	44	32	1	24	64	18	16	32	12	16	70	8	18	0	18	0	20	4	12	8	68	42	10	0	16	20	68	13	124	0	36	68	8	8	32	4	13	120	180	0	24	24	20	4	12	12	124	180	90
Running: [1, 6]	0	48	144	456	64	24	0	16	8	0	48	290	92	24	44	152	44	166	72	20	144	92	48	1	32	164	58	52	24	32	456	24	1	20	1	20	16	48	8	2	64	44	32	1	24	64	18	16	32	12	24	152	164	20	64	12	0	2	32	64	0	44	58	16	18	0	0	0	4	140	16	166	52	48	16	2	0	32	152	189	8	72	24	8	32	32	4	152	188	90	0	20	32	2	12	64	140	189	90	0
Running: [1, 7]	0	16	128	68	16	0	0	0	0	8	16	16	48	40	70	44	2	40	40	64	128	48	128	34	8	58	8	9	16	22	68	40	34	88	18	16	8	48	4	0	16	70	8	18	0	18	0	20	4	12	0	44	58	16	18	0	0	0	4	140	0	2	8	8	0	0	0	0	120	188	0	40	9	48	20	0	0	120	196	122	0	40	16	4	4	4	120	196	90	4	8	64	22	0	12	140	188	122	4	0
Running: [1, 8]	24	120	456	76	8	16	0	16	0	0	120	20	48	116	68	166	40	132	38	6	456	48	20	28	42	52	9	52	151	8	76	116	28	68	10	48	48	88	26	0	8	68	42	10	0	16	20	68	13	124	16	166	52	48	16	2	0	32	152	189	0	40	9	48	20	0	0	120	196	122	16	132	52	88	68	32	120	180	90	32	0	38	151	26	13	152	196	90	0	0	0	6	8	0	124	189	122	32	0	0
Running: [1, 9]	0	8	68	8	0	8	0	0	0	0	8	48	92	32	36	72	40	38	0	0	68	92	84	58	68	24	16	151	16	4	8	32	58	48	8	8	4	26	0	120	0	36	68	8	8	32	4	13	120	180	8	72	24	8	32	32	4	152	188	90	0	40	16	4	4	4	120	196	90	4	0	38	151	26	13	152	196	90	0	0	0	0	16	0	120	188	90	0	0	0	0	0	4	120	180	90	4	0	0	0
Running: [1, 10]	0	32	8	8	0	0	8	0	0	0	32	152	76	72	24	20	64	6	0	0	8	76	36	18	24	32	22	8	4	120	8	72	18	64	20	2	0	0	120	188	0	24	24	20	4	12	12	124	180	90	0	20	32	2	12	64	140	189	90	0	8	64	22	0	12	140	188	122	4	0	0	6	8	0	124	189	122	32	0	0	0	0	4	120	180	90	4	0	0	0	0	0	120	188	90	0	0	0	0	0
Running: [2, 1]	0	0	0	0	0	48	16	120	8	32	0	0	0	48	32	290	16	20	48	152	0	0	48	242	48	92	48	48	92	76	0	48	242	160	20	24	40	116	32	72	0	32	48	20	16	44	70	68	36	24	48	290	92	24	44	152	44	166	72	20	16	16	48	40	70	44	2	40	40	64	120	20	48	116	68	166	40	132	38	6	8	48	92	32	36	72	40	38	0	0	32	152	76	72	24	20	64	6	0	0
Running: [2, 2]	0	0	0	48	32	290	16	20	48	152	0	0	192	144	48	0	24	168	48	96	0	192	64	32	8	56	56	292	44	8	48	144	32	48	96	364	48	116	56	108	32	48	8	96	52	28	16	8	32	36	290	0	56	364	28	80	24	116	16	96	16	24	56	48	16	24	32	60	0	8	20	168	292	116	8	116	60	80	32	64	48	48	44	56	32	16	0	32	0	12	152	96	8	108	36	96	8	64	12	144
Running: [2, 3]	0	0	48	242	48	92	48	48	92	76	0	192	64	32	8	56	56	292	44	8	48	64	96	0	24	84	64	72	84	16	242	32	0	130	40	100	28	32	110	58	48	8	24	40	40	64	46	32	34	20	92	56	84	100	64	138	24	26	80	56	48	56	64	28	46	24	48	36	26	20	48	292	72	32	32	26	36	40	12	40	92	44	84	110	34	80	26	12	72	148	76	8	16	58	20	56	20	40	148	12
Running: [2, 4]	0	48	242	160	20	24	40	116	32	72	48	144	32	48	96	364	48	116	56	108	242	32	0	130	40	100	28	32	110	58	160	48	130	132	20	64	36	144	4	68	20	96	40	20	8	42	20	58	24	24	24	364	100	64	42	88	47	148	45	76	40	48	28	36	20	47	4	14	40	38	116	116	32	144	58	148	14	92	8	196	32	56	110	4	24	45	40	8	120	24	72	108	58	68	24	76	38	196	24	8
Running: [2, 5]	0	32	48	20	16	44	70	68	36	24	32	48	8	96	52	28	16	8	32	36	48	8	24	40	40	64	46	32	34	20	20	96	40	20	8	42	20	58	24	24	16	52	40	8	0	0	24	8	60	4	44	28	64	42	0	20	52	62	16	95	70	16	46	20	24	52	24	4	8	140	68	8	32	58	8	62	4	16	148	12	36	32	34	24	60	16	8	148	0	16	24	36	20	24	4	95	140	12	16	40
Running: [2, 6]	48	290	92	24	44	152	44	166	72	20	290	0	56	364	28	80	24	116	16	96	92	56	84	100	64	138	24	26	80	56	24	364	100	64	42	88	47	148	45	76	44	28	64	42	0	20	52	62	16	95	152	80	138	88	20	132	16	76	20	144	44	24	24	47	52	16	0	20	152	8	166	116	26	148	62	76	20	128	94	56	72	16	80	45	16	20	152	94	24	6	20	96	56	76	95	144	8	56	6	122
Running: [2, 7]	16	16	48	40	70	44	2	40	40	64	16	24	56	48	16	24	32	60	0	8	48	56	64	28	46	24	48	36	26	20	40	48	28	36	20	47	4	14	40	38	70	16	46	20	24	52	24	4	8	140	44	24	24	47	52	16	0	20	152	8	2	32	48	4	24	0	0	128	0	8	40	60	36	14	4	20	128	40	4	0	40	0	26	40	8	152	0	4	0	110	64	8	20	38	140	8	8	0	110	16
Running: [2, 8]	120	20	48	116	68	166	40	132	38	6	20	168	292	116	8	116	60	80	32	64	48	292	72	32	32	26	36	40	12	40	116	116	32	144	58	148	14	92	8	196	68	8	32	58	8	62	4	16	148	12	166	116	26	148	62	76	20	128	94	56	40	60	36	14	4	20	128	40	4	0	132	80	40	92	16	128	40	60	32	94	38	32	12	8	148	94	4	32	98	20	6	64	40	196	12	56	0	94	20	44
Running: [2, 9]	8	48	92	32	36	72	40	38	0	0	48	48	44	56	32	16	0	32	0	12	92	44	84	110	34	80	26	12	72	148	32	56	110	4	24	45	40	8	120	24	36	32	34	24	60	16	8	148	0	16	72	16	80	45	16	20	152	94	24	6	40	0	26	40	8	152	0	4	0	110	38	32	12	8	148	94	4	32	98	20	0	0	72	120	0	24	0	98	0	0	0	12	148	24	16	6	110	20	0	24
Running: [2, 10]	32	152	76	72	24	20	64	6	0	0	152	96	8	108	36	96	8	64	12	144	76	8	16	58	20	56	20	40	148	12	72	108	58	68	24	76	38	196	24	8	24	36	20	24	4	95	140	12	16	40	20	96	56	76	95	144	8	56	6	122	64	8	20	38	140	8	8	0	110	16	6	64	40	196	12	56	0	94	20	44	0	12	148	24	16	6	110	20	0	24	0	144	12	8	40	122	16	44	24	0
Running: [3, 1]	0	0	0	24	16	144	128	456	68	8	0	0	48	242	48	92	48	48	92	76	0	48	36	136	132	48	128	20	84	36	24	242	136	96	52	1	34	28	58	18	16	48	132	52	0	32	8	42	68	24	144	92	48	1	32	164	58	52	24	32	128	48	128	34	8	58	8	9	16	22	456	48	20	28	42	52	9	52	151	8	68	92	84	58	68	24	16	151	16	4	8	76	36	18	24	32	22	8	4	120
Running: [3, 2]	0	0	48	242	48	92	48	48	92	76	0	192	64	32	8	56	56	292	44	8	48	64	96	0	24	84	64	72	84	16	242	32	0	130	40	100	28	32	110	58	48	8	24	40	40	64	46	32	34	20	92	56	84	100	64	138	24	26	80	56	48	56	64	28	46	24	48	36	26	20	48	292	72	32	32	26	36	40	12	40	92	44	84	110	34	80	26	12	72	148	76	8	16	58	20	56	20	40	148	12
Running: [3, 3]	0	48	36	136	132	48	128	20	84	36	48	64	96	0	24	84	64	72	84	16	36	96	48	60	24	144	36	510	12	60	136	0	60	32	40	276	36	48	88	0	132	24	24	40	4	108	8	0	52	60	48	84	144	276	108	16	52	36	136	24	128	64	36	36	8	52	16	24	48	0	20	72	510	48	0	36	24	0	28	120	84	84	12	88	52	136	48	28	152	32	36	16	60	0	60	24	0	120	32	0
Running: [3, 4]	24	242	136	96	52	1	34	28	58	18	242	32	0	130	40	100	28	32	110	58	136	0	60	32	40	276	36	48	88	0	96	130	32	24	56	92	40	340	28	4	52	40	40	56	64	16	78	68	20	91	1	100	276	92	16	52	0	38	20	54	34	28	36	40	78	0	80	6	34	140	28	32	48	340	68	38	6	0	144	38	58	110	88	28	20	20	34	144	48	0	18	58	0	4	91	54	140	38	0	32
Running: [3, 5]	16	48	132	52	0	32	8	42	68	24	48	8	24	40	40	64	46	32	34	20	132	24	24	40	4	108	8	0	52	60	52	40	40	56	64	16	78	68	20	91	0	40	4	64	0	12	16	274	12	0	32	64	108	16	12	36	32	30	54	124	8	46	8	78	16	32	0	30	130	26	42	32	0	68	274	30	30	132	18	0	68	34	52	20	12	54	130	18	40	22	24	20	60	91	0	124	26	0	22	4
Running: [3, 6]	144	92	48	1	32	164	58	52	24	32	92	56	84	100	64	138	24	26	80	56	48	84	144	276	108	16	52	36	136	24	1	100	276	92	16	52	0	38	20	54	32	64	108	16	12	36	32	30	54	124	164	138	16	52	36	120	48	280	164	4	58	24	52	0	32	48	24	156	40	16	52	26	36	38	30	280	156	48	30	16	24	80	136	20	54	164	40	30	44	34	32	56	24	54	124	4	16	16	34	12
Running: [3, 7]	128	48	128	34	8	58	8	9	16	22	48	56	64	28	46	24	48	36	26	20	128	64	36	36	8	52	16	24	48	0	34	28	36	40	78	0	80	6	34	140	8	46	8	78	16	32	0	30	130	26	58	24	52	0	32	48	24	156	40	16	8	48	16	80	0	24	144	274	4	44	9	36	24	6	30	156	274	52	16	0	16	26	48	34	130	40	4	16	24	34	22	20	0	140	26	16	44	0	34	98
Running: [3, 8]	456	48	20	28	42	52	9	52	151	8	48	292	72	32	32	26	36	40	12	40	20	72	510	48	0	36	24	0	28	120	28	32	48	340	68	38	6	0	144	38	42	32	0	68	274	30	30	132	18	0	52	26	36	38	30	280	156	48	30	16	9	36	24	6	30	156	274	52	16	0	52	40	0	0	132	48	52	522	44	4	151	12	28	144	18	30	16	44	276	114	8	40	120	38	0	16	0	4	114	266
Running: [3, 9]	68	92	84	58	68	24	16	151	16	4	92	44	84	110	34	80	26	12	72	148	84	84	12	88	52	136	48	28	152	32	58	110	88	28	20	20	34	144	48	0	68	34	52	20	12	54	130	18	40	22	24	80	136	20	54	164	40	30	44	34	16	26	48	34	130	40	4	16	24	34	151	12	28	144	18	30	16	44	276	114	16	72	152	48	40	44	24	276	108	16	4	148	32	0	22	34	34	114	16	4
Running: [3, 10]	8	76	36	18	24	32	22	8	4	120	76	8	16	58	20	56	20	40	148	12	36	16	60	0	60	24	0	120	32	0	18	58	0	4	91	54	140	38	0	32	24	20	60	91	0	124	26	0	22	4	32	56	24	54	124	4	16	16	34	12	22	20	0	140	26	16	44	0	34	98	8	40	120	38	0	16	0	4	114	266	4	148	32	0	22	34	34	114	16	4	120	12	0	32	4	12	98	266	4	0
Running: [4, 1]	0	0	24	48	128	456	68	76	8	8	0	48	242	160	20	24	40	116	32	72	24	242	136	96	52	1	34	28	58	18	48	160	96	60	128	20	88	68	48	64	128	20	52	128	44	1	18	10	8	20	456	24	1	20	1	20	16	48	8	2	68	40	34	88	18	16	8	48	4	0	76	116	28	68	10	48	48	88	26	0	8	32	58	48	8	8	4	26	0	120	8	72	18	64	20	2	0	0	120	188
Running: [4, 2]	0	48	242	160	20	24	40	116	32	72	48	144	32	48	96	364	48	116	56	108	242	32	0	130	40	100	28	32	110	58	160	48	130	132	20	64	36	144	4	68	20	96	40	20	8	42	20	58	24	24	24	364	100	64	42	88	47	148	45	76	40	48	28	36	20	47	4	14	40	38	116	116	32	144	58	148	14	92	8	196	32	56	110	4	24	45	40	8	120	24	72	108	58	68	24	76	38	196	24	8
Running: [4, 3]	24	242	136	96	52	1	34	28	58	18	242	32	0	130	40	100	28	32	110	58	136	0	60	32	40	276	36	48	88	0	96	130	32	24	56	92	40	340	28	4	52	40	40	56	64	16	78	68	20	91	1	100	276	92	16	52	0	38	20	54	34	28	36	40	78	0	80	6	34	140	28	32	48	340	68	38	6	0	144	38	58	110	88	28	20	20	34	144	48	0	18	58	0	4	91	54	140	38	0	32
Running: [4, 4]	48	160	96	60	128	20	88	68	48	64	160	48	130	132	20	64	36	144	4	68	96	130	32	24	56	92	40	340	28	4	60	132	24	144	24	510	24	72	36	24	128	20	56	24	52	44	32	68	0	20	20	64	92	510	44	0	0	40	94	132	88	36	40	24	32	0	8	36	152	4	68	144	340	72	68	40	36	216	16	72	48	4	28	36	0	94	152	16	0	0	64	68	4	24	20	132	4	72	0	4
Running: [4, 5]	128	20	52	128	44	1	18	10	8	20	20	96	40	20	8	42	20	58	24	24	52	40	40	56	64	16	78	68	20	91	128	20	56	24	52	44	32	68	0	20	44	8	64	52	72	266	4	4	44	120	1	42	16	44	266	48	20	16	120	40	18	20	78	32	4	20	24	156	32	6	10	58	68	68	4	16	156	12	22	24	8	24	20	0	44	120	32	22	8	20	20	24	91	20	120	40	6	24	20	24
Running: [4, 6]	456	24	1	20	1	20	16	48	8	2	24	364	100	64	42	88	47	148	45	76	1	100	276	92	16	52	0	38	20	54	20	64	92	510	44	0	0	40	94	132	1	42	16	44	266	48	20	16	120	40	20	88	52	0	48	522	56	176	24	32	16	47	0	0	20	56	394	36	16	26	48	148	38	40	16	176	36	312	36	12	8	45	20	94	120	24	16	36	276	44	2	76	54	132	40	32	26	12	44	290
Running: [4, 7]	68	40	34	88	18	16	8	48	4	0	40	48	28	36	20	47	4	14	40	38	34	28	36	40	78	0	80	6	34	140	88	36	40	24	32	0	8	36	152	4	18	20	78	32	4	20	24	156	32	6	16	47	0	0	20	56	394	36	16	26	8	4	80	8	24	394	12	20	0	0	48	14	6	36	156	36	20	44	28	16	4	40	34	152	32	16	0	28	4	30	0	38	140	4	6	26	0	16	30	4
Running: [4, 8]	76	116	28	68	10	48	48	88	26	0	116	116	32	144	58	148	14	92	8	196	28	32	48	340	68	38	6	0	144	38	68	144	340	72	68	40	36	216	16	72	10	58	68	68	4	16	156	12	22	24	48	148	38	40	16	176	36	312	36	12	48	14	6	36	156	36	20	44	28	16	88	92	0	216	12	312	44	72	32	36	26	8	144	16	22	36	28	32	4	16	0	196	38	72	24	12	16	36	16	106
Running: [4, 9]	8	32	58	48	8	8	4	26	0	120	32	56	110	4	24	45	40	8	120	24	58	110	88	28	20	20	34	144	48	0	48	4	28	36	0	94	152	16	0	0	8	24	20	0	44	120	32	22	8	20	8	45	20	94	120	24	16	36	276	44	4	40	34	152	32	16	0	28	4	30	26	8	144	16	22	36	28	32	4	16	0	120	48	0	8	276	4	4	0	90	120	24	0	0	20	44	30	16	90	0
Running: [4, 10]	8	72	18	64	20	2	0	0	120	188	72	108	58	68	24	76	38	196	24	8	18	58	0	4	91	54	140	38	0	32	64	68	4	24	20	132	4	72	0	4	20	24	91	20	120	40	6	24	20	24	2	76	54	132	40	32	26	12	44	290	0	38	140	4	6	26	0	16	30	4	0	196	38	72	24	12	16	36	16	106	120	24	0	0	20	44	30	16	90	0	188	8	32	4	24	290	4	106	0	0
Running: [5, 1]	0	0	16	128	76	64	16	8	0	0	0	32	48	20	16	44	70	68	36	24	16	48	132	52	0	32	8	42	68	24	128	20	52	128	44	1	18	10	8	20	76	16	0	44	12	24	0	0	8	4	64	44	32	1	24	64	18	16	32	12	16	70	8	18	0	18	0	20	4	12	8	68	42	10	0	16	20	68	13	124	0	36	68	8	8	32	4	13	120	180	0	24	24	20	4	12	12	124	180	90
Running: [5, 2]	0	32	48	20	16	44	70	68	36	24	32	48	8	96	52	28	16	8	32	36	48	8	24	40	40	64	46	32	34	20	20	96	40	20	8	42	20	58	24	24	16	52	40	8	0	0	24	8	60	4	44	28	64	42	0	20	52	62	16	95	70	16	46	20	24	52	24	4	8	140	68	8	32	58	8	62	4	16	148	12	36	32	34	24	60	16	8	148	0	16	24	36	20	24	4	95	140	12	16	40
Running: [5, 3]	16	48	132	52	0	32	8	42	68	24	48	8	24	40	40	64	46	32	34	20	132	24	24	40	4	108	8	0	52	60	52	40	40	56	64	16	78	68	20	91	0	40	4	64	0	12	16	274	12	0	32	64	108	16	12	36	32	30	54	124	8	46	8	78	16	32	0	30	130	26	42	32	0	68	274	30	30	132	18	0	68	34	52	20	12	54	130	18	40	22	24	20	60	91	0	124	26	0	22	4
Running: [5, 4]	128	20	52	128	44	1	18	10	8	20	20	96	40	20	8	42	20	58	24	24	52	40	40	56	64	16	78	68	20	91	128	20	56	24	52	44	32	68	0	20	44	8	64	52	72	266	4	4	44	120	1	42	16	44	266	48	20	16	120	40	18	20	78	32	4	20	24	156	32	6	10	58	68	68	4	16	156	12	22	24	8	24	20	0	44	120	32	22	8	20	20	24	91	20	120	40	6	24	20	24
Running: [5, 5]	76	16	0	44	12	24	0	0	8	4	16	52	40	8	0	0	24	8	60	4	0	40	4	64	0	12	16	274	12	0	44	8	64	52	72	266	4	4	44	120	12	0	0	72	24	60	0	0	120	0	24	0	12	266	60	44	32	120	0	0	0	24	16	4	0	32	144	32	0	32	0	8	274	4	0	120	32	4	28	36	8	60	12	44	120	0	0	28	4	16	4	4	0	120	0	0	32	36	16	4
Running: [5, 6]	64	44	32	1	24	64	18	16	32	12	44	28	64	42	0	20	52	62	16	95	32	64	108	16	12	36	32	30	54	124	1	42	16	44	266	48	20	16	120	40	24	0	12	266	60	44	32	120	0	0	64	20	36	48	44	12	164	12	8	24	18	52	32	20	32	164	4	28	6	0	16	62	30	16	120	12	28	36	32	95	32	16	54	120	0	8	6	32	16	32	12	95	124	40	0	24	0	95	32	20
Running: [5, 7]	16	70	8	18	0	18	0	20	4	12	70	16	46	20	24	52	24	4	8	140	8	46	8	78	16	32	0	30	130	26	18	20	78	32	4	20	24	156	32	6	0	24	16	4	0	32	144	32	0	32	18	52	32	20	32	164	4	28	6	0	0	24	0	24	144	4	0	0	8	12	20	4	30	156	32	28	0	44	24	4	4	8	130	32	0	6	8	24	0	6	12	140	26	6	32	0	12	4	6	32
Running: [5, 8]	8	68	42	10	0	16	20	68	13	124	68	8	32	58	8	62	4	16	148	12	42	32	0	68	274	30	30	132	18	0	10	58	68	68	4	16	156	12	22	24	0	8	274	4	0	120	32	4	28	36	16	62	30	16	120	12	28	36	32	95	20	4	30	156	32	28	0	44	24	4	68	16	132	12	4	36	44	36	20	64	13	148	18	22	28	32	24	20	0	0	124	12	0	24	36	95	4	64	0	0
